*;62 70 6C 69 73 74;Binary property list (plist)
*;00 14 00 00 01 02;BIOS details in RAM
*;30 37 30 37 30;cpio archive
ELF;7F 45 4C 46;ELF executable
*;A1 B2 CD 34;Extended tcpdump (libpcap) capture file
*;04 00 00 00;INFO2 Windows recycle bin_1
*;05 00 00 00;INFO2 Windows recycle bin_2
*;AC ED;Java serialization data
*;4B 57 41 4A 88 F0 27 D1;KWAJ (compressed) file
*;CD 20 AA AA 02 00 00 00;NAV quarantined virus file
*;53 5A 20 88 F0 27 33 D1;QBASIC SZDD file
*;6F 3C;SMS text (SIM)
*;53 5A 44 44 88 F0 27 33;SZDD file format
*;A1 B2 C3 D4;tcpdump (libpcap) capture file
*;34 CD B2 A1;Tcpdump capture file
*;EF BB BF;UTF8 file
*;FE FF;UTF-16|UCS-2 file
*;FF FE 00 00;UTF-32|UCS-4 file
*;62 65 67 69 6E;UUencoded file
*;D4 C3 B2 A1;WinDump (winpcap) capture file
*;37 E4 53 96 C9 DB D6 07;zisofs compressed file
123;00 00 1A 00 05 10 04;Lotus 1-2-3 (v9)
386;4D 5A;Windows virtual device drivers
3GP;00 00 00 14 66 74 79 70;3GPP multimedia files
3GP;00 00 00 20 66 74 79 70;3GPP2 multimedia files
3GP5;00 00 00 18 66 74 79 70;MPEG-4 video files
4XM;52 49 46 46;4X Movie video
7Z;37 7A BC AF 27 1C;7-Zip compressed file
ABA;00 01 42 41;Palm Address Book Archive
ABD;51 57 20 56 65 72 2E 20;ABD | QSD Quicken data file
ABI;41 4F 4C 49 4E 44 45 58;AOL address book index
ABI;41 4F 4C;AOL config files
ABY;41 4F 4C 44 42;AOL address book
ABY;41 4F 4C;AOL config files
AC;72 69 66 66;Sonic Foundry Acid Music File
ACCDB;00 01 00 00 53 74 61 6E 64 61 72 64 20 41 43 45 20 44 42;Microsoft Access 2007
ACM;4D 5A;MS audio compression manager driver
ACS;C3 AB CD AB;MS Agent Character file
AC_;D0 CF 11 E0 A1 B1 1A E1;CaseWare Working Papers
AD;52 45 56 4E 55 4D 3A 2C;Antenna data file
ADF;44 4F 53;Amiga disk file
ADP;D0 CF 11 E0 A1 B1 1A E1;Access project file
ADX;03 00 00 00 41 50 50 52;Approach index file
ADX;80 00 00 20 03 12 04;Dreamcast audio
AIFF;46 4F 52 4D 00;Audio Interchange File
AIN;21 12;AIN Compressed Archive
AMR;23 21 41 4D 52;Adaptive Multi-Rate ACELP Codec (GSM)
ANI;52 49 46 46;Windows animated cursor
API;4D 5A 90 00 03 00 00 00;Acrobat plug-in
APK;50 4B 03 04 14 00 08 00 08 00;Android Package
APR;D0 CF 11 E0 A1 B1 1A E1;Lotus|IBM Approach 97 file
ARC;41 72 43 01;FreeArc compressed file
ARC;1A 02;LH archive (old vers.|type 1)
ARC;1A 03;LH archive (old vers.|type 2)
ARC;1A 04;LH archive (old vers.|type 3)
ARC;1A 08;LH archive (old vers.|type 4)
ARC;1A 09;LH archive (old vers.|type 5)
ARJ;60 EA;ARJ Compressed archive file
ARSC;02 00 0C 00;Android resource file
ARL;D4 2A;AOL history|typed URL files
ASF;30 26 B2 75 8E 66 CF 11;Windows Media Audio|Video File
AST;53 43 48 6C;Underground Audio
ASX;3C;Advanced Stream Redirector
AU;64 6E 73 2E;Audacity audio file
AU;2E 73 6E 64;NeXT|Sun Microsystems audio file
AUT;D4 2A;AOL history|typed URL files
AVI;52 49 46 46;Resource Interchange File Format
AW;8A 01 09 00 00 00 E1 08;MS Answer Wizard
AX;4D 5A 90 00 03 00 00 00;DirectShow filter
AX;4D 5A;Library cache file
BAG;41 4F 4C 20 46 65 65 64;AOL and AIM buddy list
BAG;41 4F 4C;AOL config files
BDR;58 54;MS Publisher
BIN;42 4C 49 32 32 33 51;Speedtouch router firmware
BMP;42 4D;Bitmap image
BZ2;42 5A 68;bzip2 compressed archive
CAB;49 53 63 28;Install Shield compressed file
CAB;4D 53 43 46;Microsoft cabinet file
CAL;73 72 63 64 6F 63 69 64;CALS raster bitmap
CAL;53 75 70 65 72 43 61 6C;SuperCalc worksheet
CAL;B5 A2 B0 B3 B3 B0 A5 B5;Windows calendar
CAP;58 43 50 00;Packet sniffer files
CAP;52 54 53 53;WinNT Netmon capture file
CAS;5F 43 41 53 45 5F;EnCase case file
CAT;30;MS security catalog file
CBD;43 42 46 49 4C 45;WordPerfect dictionary
CBK;5F 43 41 53 45 5F;EnCase case file
CDA;52 49 46 46;Resource Interchange File Format
CDR;52 49 46 46;CorelDraw document
CDR;45 4C 49 54 45 20 43 6F;Elite Plus Commander game file
CDR;4D 53 5F 56 4F 49 43 45;Sony Compressed Voice File
CFG;5B 66 6C 74 73 69 6D 2E;Flight Simulator Aircraft Configuration
CHI;49 54 53 46;MS Compiled HTML Help File
CHM;49 54 53 46;MS Compiled HTML Help File
CLASS;CA FE BA BE;Java bytecode
CLB;43 4F 4D 2B;COM+ Catalog
CLB;43 4D 58 31;Corel Binary metafile
CMX;52 49 46 46;Corel Presentation Exchange metadata
CNV;53 51 4C 4F 43 4F 4E 56;DB2 conversion file
COD;4E 61 6D 65 3A 20;Agent newsreader character map
COM;4D 5A;Windows|DOS executable file
COM;E8;Windows executable file_1
COM;E9;Windows executable file_2
COM;EB;Windows executable file_3
CPE;46 41 58 43 4F 56 45 52;MS Fax Cover Sheet
CPI;53 49 45 54 52 4F 4E 49;Sietronics CPI XRD document
CPI;FF 46 4F 4E 54;Windows international code page
CPL;4D 5A;Control panel application
CPL;DC DC;Corel color palette
CPT;43 50 54 37 46 49 4C 45;Corel Photopaint file_1
CPT;43 50 54 46 49 4C 45;Corel Photopaint file_2
CPX;5B 57 69 6E 64 6F 77 73;Microsoft Code Page Translation file
CRU;43 52 55 53 48 20 76;Crush compressed archive
CRW;49 49 1A 00 00 00 48 45;Canon RAW file
CSH;63 75 73 68 00 00 00 02;Photoshop Custom Shape
CTF;43 61 74 61 6C 6F 67 20;WhereIsIt Catalog
CTL;56 45 52 53 49 4F 4E 20;Visual Basic User-defined Control file
CUIX;50 4B 03 04;Customization files
CUR;00 00 02 00;Windows cursor
DAT;52 49 46 46;Video CD MPEG movie
DAT;A9 0D 00 00 00 00 00 00;Access Data FTK evidence
DAT;73 6C 68 21;Allegro Generic Packfile (compressed)
DAT;73 6C 68 2E;Allegro Generic Packfile (uncompressed)
DAT;41 56 47 36 5F 49 6E 74;AVG6 Integrity database
DAT;03;MapInfo Native Data Format
DAT;45 52 46 53 53 41 56 45;EasyRecovery Saved State file
DAT;43 6C 69 65 6E 74 20 55;IE History file
DAT;49 6E 6E 6F 20 53 65 74;Inno Setup Uninstall Log
DAT;50 4E 43 49 55 4E 44 4F;Norton Disk Doctor undo file
DAT;50 45 53 54;PestPatrol data|scan strings
DAT;1A 52 54 53 20 43 4F 4D;Runtime Software disk image
DAT;52 41 5A 41 54 44 42 31;Shareaza (P2P) thumbnail
DAT;4E 41 56 54 52 41 46 46;TomTom traffic data
DAT;55 46 4F 4F 72 62 69 74;UFO Capture map file
DAT;57 4D 4D 50;Walkman MP3 file
DAT;43 52 45 47;Win9x registry hive
DAT;72 65 67 66;WinNT registry file
DB;D0 CF 11 E0 A1 B1 1A E1;MSWorks database file
DB;08;dBASE IV or dBFast configuration file
DB;00 06 15 61 00 00 00 02 00 00 04 D2 00 00 10 00;Netscape Navigator (v4) database
DB;44 42 46 48;Palm Zire photo database
DB;53 51 4C 69 74 65 20 66 6F 72 6D 61 74 20 33 00;SQLite database file
DB;FD FF FF FF;Thumbs.apkr.db subheader
DBA;00 01 42 44;Palm DateBook Archive
DBB;6C 33 33 6C;Skype user data file
DBF;4F 50 4C 44 61 74 61 62;Psion Series 3 Database
DBX;CF AD 12 FE;Outlook Express e-mail folder
DCI;3C 21 64 6F 63 74 79 70;AOL HTML mail
DCX;B1 68 DE 3A;PCX bitmap
DEX;64 65 78 0A 30 30 39 00;Dalvik (Android) executable file
DEX;64 65 78 0A 30 33 35 00;Dalvik (Android) executable file 
DIB;42 4D;Bitmap image
DLL;4D 5A;Windows|DOS executable file
DMG;78;MacOS X image file
DMP;4D 44 4D 50 93 A7;Windows dump file
DMP;50 41 47 45 44 55;Windows memory dump
DMS;44 4D 53 21;Amiga DiskMasher compressed archive
DOC;D0 CF 11 E0 A1 B1 1A E1;Microsoft Office document
